"vote","black","hisp","pid7","income","age","educ_attain"
0,0,0,1,22,45,5
0,0,0,6,13,74,3
1,0,0,6,1,62,2
1,0,0,6,13,82,1
0,0,0,1,28,20,3
1,0,0,4,18,61,5
0,0,0,2,25,47,5
1,0,0,3,6,28,3
0,0,1,1,9,49,2
1,0,0,5,15,45,2
0,0,0,1,23,60,3
0,0,0,3,21,33,5
0,0,0,4,9,52,2
1,0,0,4,6,70,1
1,0,1,6,14,60,4
1,0,0,7,12,74,2
1,0,0,6,22,46,4
0,1,0,1,14,50,5
1,0,0,5,14,59,3
0,0,1,2,13,34,3
0,0,1,3,15,37,2
0,1,0,1,17,62,3
0,0,0,2,20,45,3
1,0,0,7,27,50,2
0,0,0,3,28,56,5
0,0,0,1,5,63,2
0,0,0,1,9,85,3
0,0,1,2,7,33,3
1,0,1,7,18,26,3
1,0,0,6,1,56,2
1,0,0,7,20,68,5
1,0,0,7,18,46,4
0,0,1,4,17,42,2
0,0,0,1,12,51,3
1,0,0,7,17,20,2
1,0,0,5,17,36,4
1,0,0,5,3,28,2
1,0,0,5,11,47,3
0,0,0,3,28,47,5
0,0,0,1,20,68,5
1,0,0,7,12,37,3
0,1,0,1,1,53,1
0,0,0,2,19,32,4
0,1,0,3,5,53,1
0,0,0,3,21,65,3
0,0,1,1,5,53,2
0,0,0,4,14,41,2
0,1,0,1,1,54,3
0,0,0,3,19,47,3
0,0,0,1,22,80,5
1,0,1,6,28,63,4
1,0,0,6,1,82,2
1,0,0,5,1,49,4
0,0,0,1,25,33,5
1,0,0,7,11,81,2
0,0,0,2,21,64,3
1,0,0,6,18,30,4
1,0,0,7,14,62,3
1,0,0,5,9,31,3
0,0,0,1,2,42,5
0,0,1,1,3,23,3
0,0,1,3,17,21,3
0,0,1,3,15,44,4
1,0,1,6,23,51,3
0,0,0,3,23,59,4
1,0,0,7,17,77,5
0,0,0,2,7,68,3
0,0,0,1,17,65,2
1,0,0,4,17,49,3
1,0,0,5,11,85,2
0,0,0,1,27,58,5
0,0,0,2,19,37,3
0,0,0,2,25,66,1
0,0,0,6,28,53,4
1,0,0,6,21,46,4
0,0,0,6,26,53,3
1,0,0,4,13,46,4
0,1,0,1,8,67,3
1,0,0,7,19,65,2
0,1,0,2,21,45,4
1,0,0,7,28,18,1
1,0,0,6,15,33,4
0,0,1,6,1,24,3
1,0,0,5,18,29,3
0,0,0,2,24,49,5
1,0,0,6,26,47,4
1,0,0,5,7,53,3
0,1,0,1,11,47,3
0,0,0,1,9,71,3
0,0,0,3,15,59,3
1,0,0,4,7,48,4
0,0,0,3,3,58,3
0,0,1,3,1,36,1
1,0,0,7,20,47,4
1,0,0,7,7,31,4
0,1,0,1,1,72,3
1,0,0,2,5,54,3
1,0,0,6,24,38,3
1,0,0,5,11,47,3
0,1,0,4,7,43,3
1,0,0,4,1,43,2
0,0,0,3,27,20,2
0,0,0,3,9,24,4
0,0,0,1,20,80,4
1,0,0,6,14,64,4
1,0,1,4,2,35,1
0,0,0,1,24,46,5
1,0,0,7,20,73,3
0,0,0,5,17,70,3
0,0,1,1,23,53,5
1,0,0,2,11,79,2
1,0,0,5,16,60,2
0,0,0,2,24,76,3
0,0,1,1,12,70,2
1,0,0,7,26,66,4
1,0,0,7,3,46,1
0,1,0,1,11,25,4
1,0,0,4,17,71,2
0,0,0,2,13,37,3
0,0,0,2,12,41,2
0,0,1,2,1,20,3
1,0,0,6,22,59,5
0,0,0,3,23,23,4
1,0,0,5,28,62,4
0,1,0,1,1,41,2
0,0,0,3,23,74,5
1,0,0,7,24,40,5
1,0,1,6,17,58,2
0,0,0,1,14,68,5
1,0,0,6,25,32,3
0,0,0,1,5,78,1
0,1,0,3,25,45,4
0,1,0,1,21,44,3
0,0,0,3,9,34,3
0,0,0,7,6,67,2
0,0,1,2,4,59,1
0,0,0,3,23,28,5
1,0,0,6,19,33,4
1,0,0,5,26,37,4
1,0,0,7,17,68,3
1,0,0,7,1,74,1
0,0,1,1,17,36,3
0,0,0,3,14,52,3
1,0,1,7,12,24,2
0,0,0,1,5,62,2
0,0,0,2,12,73,4
0,0,0,2,21,18,3
0,0,0,1,11,53,5
1,0,0,5,26,33,3
1,0,0,3,11,79,1
0,0,0,1,24,68,4
1,0,0,6,5,29,3
0,0,0,3,11,80,2
1,0,0,7,17,72,3
0,0,0,4,1,46,1
1,0,0,7,21,49,4
0,0,1,4,11,38,3
0,0,0,3,17,69,3
0,0,0,2,18,28,4
1,0,0,7,26,52,4
1,0,0,6,23,45,4
1,0,1,7,13,32,3
1,0,0,7,1,80,4
0,0,0,2,26,36,5
0,0,1,2,1,18,3
0,1,0,1,26,40,2
1,0,0,7,1,18,2
1,0,0,6,16,22,2
1,0,0,5,27,66,4
1,0,0,5,1,70,2
1,0,0,7,1,54,2
0,1,0,2,3,20,2
0,0,0,1,20,49,4
1,0,0,7,7,55,1
1,0,0,5,25,67,5
0,1,0,2,21,29,4
0,0,0,1,24,55,3
1,0,0,7,17,64,4
1,0,0,6,14,34,3
0,1,0,1,5,72,2
0,0,0,1,11,71,3
1,0,0,5,19,75,3
0,0,1,1,5,21,3
1,0,0,5,25,46,2
0,0,1,1,21,57,2
1,0,0,7,7,24,3
0,0,0,1,8,85,2
1,0,0,7,9,56,2
1,0,0,6,27,38,3
1,0,0,4,17,30,3
0,0,0,1,26,41,5
0,1,0,1,8,50,1
0,0,0,1,20,44,3
0,0,0,2,22,27,4
0,1,0,4,3,41,3
0,1,0,1,11,50,3
1,0,0,4,13,68,3
1,0,0,5,23,71,2
1,0,0,5,19,67,2
0,0,1,3,14,25,3
0,0,0,1,23,81,5
0,0,0,1,21,64,1
1,0,0,6,1,68,5
0,1,0,1,2,29,2
0,0,0,3,25,59,3
1,0,0,6,21,25,3
0,0,0,1,16,52,3
0,0,0,1,20,37,5
1,0,0,6,22,50,3
1,0,0,5,8,76,3
1,0,0,5,21,19,3
0,0,0,1,27,52,5
0,0,0,1,16,66,5
0,0,0,4,22,51,3
0,0,1,1,23,20,3
0,0,0,1,15,41,2
0,0,0,1,11,25,4
1,0,0,7,19,60,2
0,0,0,1,26,64,3
0,1,0,2,24,36,4
1,0,0,4,1,62,2
1,0,0,7,25,59,4
1,0,0,5,11,55,3
1,0,0,5,22,34,5
1,0,0,5,20,59,3
0,1,0,1,9,34,3
0,0,0,1,25,63,5
1,0,0,7,24,45,3
1,0,0,5,24,55,3
1,0,0,7,18,57,4
0,0,0,3,14,58,3
1,0,0,1,14,52,2
0,1,0,1,10,65,3
1,0,0,7,25,57,4
1,0,0,5,22,69,3
1,0,0,1,9,22,3
0,0,0,3,27,55,5
0,1,0,3,13,46,3
0,0,0,4,23,46,5
1,0,0,6,8,73,1
1,0,0,7,15,70,3
0,0,0,1,5,79,1
0,0,0,3,9,32,4
1,0,0,4,5,61,3
0,0,0,1,15,67,2
0,1,0,1,9,44,4
